Review (arabic),Sentiment,Likes,Shares,Verified,Location,Gender
الهاتف يستجيب بسرعة شديدة، وواجهة المستخدم رائعة! ,Positive,187,5,True,Amman,Male
أفضل جهاز استخدمته حتى الآن، كل التطبيقات تعمل بدون تأخير,Positive,23,23,False,Beirut,Female
تصميم أنيق جدًا ومريح للاستخدام اليومي. 💼,Positive,83,27,False,Cairo,Female
آيفون 16 أحدث تغييرًا كبيرًا في حياتي، متطور بكل معنى الكلمة! 🔥,Positive,77,18,False,Jeddah,Male
ميزة الشحن اللاسلكي سريعة وفعالة جدًا. ,Positive,183,8,False,Dubai,Female
أفضل صوت يمكن أن تسمعه في هاتف ذكي، سماعات مذهلة. 🎧,Positive,39,13,True,Amman,Female
الهاتف متين للغاية، والمواد المستخدمة في التصنيع ممتازة. 🔨,Positive,41,5,True,Jeddah,Female
أحببت التفاصيل الدقيقة في النظام الجديد، تجربة مستخدم لا تضاهى. ,Positive,75,8,True,Jeddah,Male
الشاشة بألوان مذهلة، تجربة مشاهدة الأفلام ممتعة جدًا. 🎬,Positive,98,14,False,Riyadh,Female
تعدد المهام سهل وسلس على آيفون 16، بلا مشاكل. 💼,Positive,45,15,True,Beirut,Male
البطارية تدوم لفترات طويلة بدون الحاجة لإعادة الشحن باستمرار. 🕒,Positive,159,25,False,Dubai,Male
الشحن السريع مفيد جدًا خصوصًا في أيام العمل الطويلة. ⚡🔌,Positive,152,28,False,Amman,Male
الهاتف لا يسخن حتى مع الاستخدام المكثف، تصميم ممتاز. 🔥🛠️,Positive,174,20,True,Amman,Male
كل شيء في هذا الهاتف يبدو أكثر ذكاءً وسلاسة! 🧠💡,Positive,49,24,True,Riyadh,Female
الصوت واضح جدًا سواء في المكالمات أو الموسيقى. 🎵📞,Positive,185,5,True,Jeddah,Female
أحببت خاصية الأمان الجديدة، تجعلني أشعر بالاطمئنان. 🔐,Positive,129,27,True,Beirut,Female
الصور الليلية ممتازة، تلتقط تفاصيل دقيقة حتى في الظلام. 🌙,Positive,164,21,True,Casablanca,Male
الهاتف أسرع من أي إصدار سابق، استجابة فورية! 🚀,Positive,48,30,True,Dubai,Female
آيفون 16 جلب لي تجربة تصوير لا تُنسى، تفاصيل الكاميرا مذهلة! 🎥,Positive,23,17,False,Dubai,Female
التحديث الجديد في الأداء أعطى للهاتف سرعة غير مسبوقة. ⚡,Positive,153,29,True,Dubai,Male
الهاتف يستجيب بسرعة شديدة، وواجهة المستخدم رائعة! 🖥️,Positive,88,19,True,Riyadh,Female
أفضل جهاز استخدمته حتى الآن، كل التطبيقات تعمل بدون تأخير. ⏱️,Positive,197,10,False,Casablanca,Male
تصميم أنيق جدًا ومريح للاستخدام اليومي. 💼,Positive,180,17,True,Beirut,Female
آيفون 16 أحدث تغييرًا كبيرًا في حياتي، متطور بكل معنى الكلمة! 🔥,Positive,133,25,True,Amman,Male
ميزة الشحن اللاسلكي سريعة وفعالة جدًا. 🔋📶,Positive,29,17,False,Cairo,Female
أفضل صوت يمكن أن تسمعه في هاتف ذكي، سماعات مذهلة. 🎧,Positive,113,21,False,Dubai,Female
الهاتف متين للغاية، والمواد المستخدمة في التصنيع ممتازة. 🔨,Positive,138,25,False,Jeddah,Male
أحببت التفاصيل الدقيقة في النظام الجديد، تجربة مستخدم لا تضاهى. 🌐,Positive,139,12,False,Casablanca,Female
الشاشة بألوان مذهلة، تجربة مشاهدة الأفلام ممتعة جدًا. 🎬,Positive,107,13,False,Jeddah,Female
تعدد المهام سهل وسلس على آيفون 16، بلا مشاكل. 💼,Positive,83,13,False,Beirut,Male
البطارية تدوم لفترات طويلة بدون الحاجة لإعادة الشحن باستمرار. 🕒,Positive,168,5,False,Dubai,Male
الشحن السريع مفيد جدًا خصوصًا في أيام العمل الطويلة. ⚡🔌,Positive,149,25,False,Amman,Male
الهاتف لا يسخن حتى مع الاستخدام المكثف، تصميم ممتاز. 🔥🛠️,Positive,160,6,True,Amman,Male
كل شيء في هذا الهاتف يبدو أكثر ذكاءً وسلاسة! ,Positive,159,29,False,Beirut,Female
الصوت واضح جدًا سواء في المكالمات أو الموسيقى. 🎵📞,Positive,32,18,True,Jeddah,Male
أحببت خاصية الأمان الجديدة، تجعلني أشعر بالاطمئنان. ,Positive,191,6,False,Jeddah,Female
الصور الليلية ممتازة، تلتقط تفاصيل دقيقة حتى في الظلام. 🌙,Positive,179,18,False,Beirut,Male
الهاتف أسرع من أي إصدار سابق، استجابة فورية! 🚀,Positive,191,11,True,Dubai,Male
آيفون 16 جلب لي تجربة تصوير لا تُنسى، تفاصيل الكاميرا مذهلة! 🎥,Positive,98,16,False,Riyadh,Male
التحديث الجديد في الأداء أعطى للهاتف سرعة غير مسبوقة. ⚡,Positive,85,10,False,Dubai,Female
الهاتف يستجيب بسرعة شديدة، وواجهة المستخدم رائعة! 🖥️,Positive,186,20,False,Jeddah,Female
أفضل جهاز استخدمته حتى الآن، كل التطبيقات تعمل بدون تأخير. ⏱️,Positive,165,29,False,Riyadh,Male
تصميم أنيق جدًا ومريح للاستخدام اليومي. 💼,Positive,29,19,True,Cairo,Male
آيفون 16 أحدث تغييرًا كبيرًا في حياتي، متطور بكل معنى الكلمة! 🔥,Positive,37,29,True,Dubai,Female
ميزة الشحن اللاسلكي سريعة وفعالة جدًا. 🔋📶,Positive,33,21,False,Cairo,Male
أفضل صوت يمكن أن تسمعه في هاتف ذكي، سماعات مذهلة. 🎧,Positive,174,18,True,Beirut,Female
آيفون 16 لا يستحق هذا السعر المرتفع، لم أجد فرق كبير عن الإصدارات السابقة. 💸,Negative,74,22,False,Jeddah,Female
الكاميرا ليست بنفس الجودة المتوقعة، مخيبة للأمل. 😕📷,Negative,76,19,False,Beirut,Female
أشعر بأن البطارية تفرغ بسرعة، مشكلة كبيرة! 🔋,Negative,174,22,False,Dubai,Female
الهاتف يسخن كثيرًا عند استخدامه للألعاب، غير مريح. 🔥🎮,Negative,162,21,True,Cairo,Female
Face ID لا يعمل دائمًا بشكل صحيح، مزعج جدًا. 🙄,Negative,51,6,False,Beirut,Female
لا أرى أي تحسينات كبيرة في الأداء مقارنةً بالإصدار السابق. 😐,Negative,25,21,False,Riyadh,Female
التصميم تقليدي جدًا، توقعت شيئًا مبتكرًا. 😒,Negative,40,22,False,Jeddah,Male
أداء الشبكة ضعيف في بعض المناطق، ولا يدعم إشارات قوية. 📶,Negative,184,23,False,Riyadh,Male
التطبيقات تعلق أحيانًا، ولا يوجد حل واضح لذلك. 😤,Negative,31,22,False,Jeddah,Male
الهاتف ثقيل جدًا عند الاستخدام لفترات طويلة. 🏋️,Negative,74,10,True,Beirut,Female
الكاميرا بطيئة في الالتقاط، ولا تعمل بسلاسة. 📸⏳,Negative,165,29,True,Beirut,Male
التحديث الأخير مليء بالمشاكل والأخطاء. 🐛,Negative,160,11,False,Dubai,Female
الشاشة لا تبدو مشرقة كما كنت أتوقع. 💡,Negative,149,6,False,Cairo,Male
لا يوجد دعم كافٍ لتطبيقات الطرف الثالث، تجربة محدودة. 📱,Negative,68,26,True,Casablanca,Male
عمر البطارية أقل مما توقعت بكثير، مخيب للآمال. 🔋😩,Negative,95,24,True,Jeddah,Male
الشحن بطيء جدًا، حتى مع الشاحن السريع. ⌛🔌,Negative,76,19,False,Beirut,Male
الهاتف يعاني من مشاكل في استقبال الشبكة داخل المباني. 📶🚫,Negative,115,15,True,Dubai,Male
الألوان على الشاشة تبدو غير حقيقية في بعض الأحيان. 🌈,Negative,98,6,False,Casablanca,Female
الكاميرا الأمامية مخيبة للآمال في تصوير السيلفي. 🤳,Negative,66,27,True,Amman,Female
الهاتف يبدأ بالتباطؤ بعد أسابيع قليلة من الاستخدام. 🐢,Negative,108,25,True,Dubai,Female
آيفون 16 لا يستحق هذا السعر المرتفع، لم أجد فرق كبير عن الإصدارات السابقة. 💸,Negative,176,13,True,Jeddah,Male
الكاميرا ليست بنفس الجودة المتوقعة، مخيبة للأمل. 😕📷,Negative,115,21,True,Amman,Male
أشعر بأن البطارية تفرغ بسرعة، مشكلة كبيرة! 🔋,Negative,101,25,True,Casablanca,Male
الهاتف يسخن كثيرًا عند استخدامه للألعاب، غير مريح. 🔥🎮,Negative,110,24,True,Jeddah,Female
Face ID لا يعمل دائمًا بشكل صحيح، مزعج جدًا. 🙄,Negative,156,7,True,Casablanca,Male
لا أرى أي تحسينات كبيرة في الأداء مقارنةً بالإصدار السابق. 😐,Negative,146,24,True,Jeddah,Female
التصميم تقليدي جدًا، توقعت شيئًا مبتكرًا. 😒,Negative,156,8,True,Beirut,Female
أداء الشبكة ضعيف في بعض المناطق، ولا يدعم إشارات قوية. 📶,Negative,172,27,False,Dubai,Female
التطبيقات تعلق أحيانًا، ولا يوجد حل واضح لذلك. 😤,Negative,23,11,False,Cairo,Female
الهاتف ثقيل جدًا عند الاستخدام لفترات طويلة. 🏋️,Negative,100,16,True,Casablanca,Female
الكاميرا بطيئة في الالتقاط، ولا تعمل بسلاسة. 📸⏳,Negative,190,19,False,Amman,Male
التحديث الأخير مليء بالمشاكل والأخطاء. 🐛,Negative,129,23,False,Dubai,Female
الشاشة لا تبدو مشرقة كما كنت أتوقع. 💡,Negative,124,5,False,Beirut,Female
لا يوجد دعم كافٍ لتطبيقات الطرف الثالث، تجربة محدودة. 📱,Negative,83,6,False,Cairo,Female
عمر البطارية أقل مما توقعت بكثير، مخيب للآمال. 🔋😩,Negative,33,24,True,Riyadh,Male
الشحن بطيء جدًا، حتى مع الشاحن السريع. ⌛🔌,Negative,65,23,True,Amman,Female
الهاتف يعاني من مشاكل في استقبال الشبكة داخل المباني. 📶🚫,Negative,59,24,False,Dubai,Male
الألوان على الشاشة تبدو غير حقيقية في بعض الأحيان. 🌈,Negative,194,9,True,Cairo,Male
الكاميرا الأمامية مخيبة للآمال في تصوير السيلفي. 🤳,Negative,133,13,False,Jeddah,Female
الهاتف يبدأ بالتباطؤ بعد أسابيع قليلة من الاستخدام. 🐢,Negative,157,23,True,Cairo,Female
آيفون 16 لا يستحق هذا السعر المرتفع، لم أجد فرق كبير عن الإصدارات السابقة. 💸,Negative,153,15,True,Riyadh,Female
الكاميرا ليست بنفس الجودة المتوقعة، مخيبة للأمل. 😕📷,Negative,46,15,False,Cairo,Female
أشعر بأن البطارية تفرغ بسرعة، مشكلة كبيرة! 🔋,Negative,86,13,True,Jeddah,Male
الهاتف يسخن كثيرًا عند استخدامه للألعاب، غير مريح. ,Negative,107,14,True,Casablanca,Female
Face ID لا يعمل دائمًا بشكل صحيح، مزعج جدًا. 🙄,Negative,175,27,True,Beirut,Female
لا أرى أي تحسينات كبيرة في الأداء مقارنةً بالإصدار السابق. 😐,Negative,104,24,True,Casablanca,Female
التصميم تقليدي جدًا، توقعت شيئًا مبتكرًا. 😒,Negative,127,9,True,Casablanca,Female
أداء الشبكة ضعيف في بعض المناطق، ولا يدعم إشارات قوية. 📶,Negative,45,14,True,Riyadh,Male
التطبيقات تعلق أحيانًا، ولا يوجد حل واضح لذلك. 😤,Negative,121,7,True,Jeddah,Female
الهاتف ثقيل جدًا عند الاستخدام لفترات طويلة. 🏋️,Negative,49,23,False,Cairo,Male
الكاميرا بطيئة في الالتقاط، ولا تعمل بسلاسة. 📸,Negative,55,24,False,Riyadh,Male
التحديث الأخير مليء بالمشاكل والأخطاء. ,Negative,106,8,False,Dubai,Male
الشاشة لا تبدو مشرقة كما كنت أتوقع. 💡,Negative,156,25,False,Dubai,Female
لا يوجد دعم كافٍ لتطبيقات الطرف الثالث، تجربة محدودة. 📱,Negative,80,20,False,Casablanca,Female
عمر البطارية أقل مما توقعت بكثير، مخيب للآمال. 🔋😩,Negative,157,21,False,Cairo,Female
آيفون 16، الهاتف المثالي لمن لا يريد أي جديد... تمامًا كالإصدار السابق! 🙃,Sarcastic,84,6,True,Beirut,Female
نفس الكاميرا، نفس الشاشة، لكن السعر الجديد هو الجزء المبتكر! 💰,Sarcastic,74,17,False,Dubai,Male
الهاتف يتقن التحديثات التي لا تضيف شيئًا جديدًا، مبهر حقًا! 😅,Sarcastic,41,19,True,Riyadh,Male
آبل تقدم لنا آيفون 16، تمامًا كما كنا نتوقع... لا شيء مختلف. ,Sarcastic,199,10,True,Riyadh,Female
الهاتف باهظ الثمن لدرجة أنني قد أستخدمه كاستثمار بدلاً من هاتف! 💸😂,Sarcastic,159,29,False,Dubai,Female
أعتقد أنني بحاجة إلى تلسكوب لأرى الفروق بين آيفون 16 وآيفون 15! 🤔,Sarcastic,51,23,False,Riyadh,Male
يا له من ابتكار! تمامًا كما توقعت... من آبل. 😏,Sarcastic,25,23,False,Riyadh,Female
الهاتف مصمم لأولئك الذين يحبون دفع المزيد للحصول على نفس الميزات القديمة. 💵📱,Sarcastic,102,18,True,Beirut,Female
