Review (turkish),Sentiment,Likes,Shares,Verified,Location,Gender
"Hoparlörler yeterince güçlü değil, ses kalitesi düşük. 🔇",Positive,118,12,False,Konya,Male
Ekran hassasiyeti düşük dokunuşları algılamıyor ,Positive,77,14,False,Ankara,Female
Apple'ın müşteri desteği hayal kırıklığı yarattı. 😔,Positive,65,9,True,Adana,Female
Bu fiyatla yanında bir de araba vermeleri gerekirdi ,Positive,24,6,False,Gaziantep,Male
"Apple her zaman olduğu gibi, değişmeyen tek şey! 👏",Positive,175,25,False,Gaziantep,Male
Face ID mi Yüzümü tanıyorsa şanslı günümdeyim demektir ,Positive,156,22,True,Gaziantep,Male
Yeni iPhone 16! Şimdi tamamen aynı... ama daha pahalı! 😂,Positive,109,14,False,Istanbul,Male
iPhone 16 mı Kesinlikle her şey ama yeni değil ,Positive,163,16,False,Bursa,Female
Telefon o kadar pahalı ki kredi çekmek zorunda kaldım! 💳,Positive,197,22,True,Izmir,Male
Yine mi aynı tasarım vay canına Çok yenilikçi  ,Positive,49,21,False,Antalya,Female
Kamerası çok muhteşem! Tabii ki... eğer yeterince paran varsa. 💸,Positive,151,20,False,Adana,Male
Bu fiyatla yanında bir de araba vermeleri gerekirdi ,Positive,74,30,False,Antalya,Female
"Apple her zaman olduğu gibi, değişmeyen tek şey! 👏",Positive,186,5,True,Adana,Female
Face ID mi Yüzümü tanıyorsa şanslı günümdeyim demektir ,Positive,102,13,False,Adana,Male
Yeni iPhone 16! Şimdi tamamen aynı... ama daha pahalı! 😂,Positive,47,24,True,Antalya,Female
iPhone 16 mı Kesinlikle her şey ama yeni değil ,Positive,148,29,False,Adana,Female
Telefon o kadar pahalı ki kredi çekmek zorunda kaldım! 💳,Positive,158,18,True,Gaziantep,Male
Yine mi aynı tasarım vay canına Çok yenilikçi  ,Positive,196,14,False,Konya,Male
Kamerası çok muhteşem! Tabii ki... eğer yeterince paran varsa. 💸,Positive,63,9,False,Ankara,Female
Bu fiyatla yanında bir de araba vermeleri gerekirdi ,Positive,112,25,True,Ankara,Male
"Apple her zaman olduğu gibi, değişmeyen tek şey! 👏",Negative,60,18,False,Antalya,Male
Face ID mi Yüzümü tanıyorsa şanslı günümdeyim demektir ,Negative,96,30,True,Konya,Male
Yeni iPhone 16! Şimdi tamamen aynı... ama daha pahalı! 😂,Negative,28,10,False,Adana,Male
iPhone 16 mı Kesinlikle her şey ama yeni değil ,Negative,137,27,False,Izmir,Male
Telefon o kadar pahalı ki kredi çekmek zorunda kaldım! 💳,Negative,133,10,True,Ankara,Female
Yine mi aynı tasarım vay canına Çok yenilikçi  ,Negative,21,11,True,Konya,Female
Kamerası çok muhteşem! Tabii ki... eğer yeterince paran varsa. 💸,Negative,124,20,False,Istanbul,Male
Bu fiyatla yanında bir de araba vermeleri gerekirdi ,Negative,177,6,False,Adana,Female
"Apple her zaman olduğu gibi, değişmeyen tek şey! 👏",Negative,20,13,True,Konya,Female
Face ID mi Yüzümü tanıyorsa şanslı günümdeyim demektir ,Negative,64,25,False,Bursa,Female
Yeni iPhone 16! Şimdi tamamen aynı... ama daha pahalı! 😂,Negative,62,30,True,Antalya,Male
iPhone 16 mı Kesinlikle her şey ama yeni değil ,Negative,159,7,False,Adana,Male
Telefon o kadar pahalı ki kredi çekmek zorunda kaldım! 💳,Negative,162,28,True,Bursa,Female
Yine mi aynı tasarım vay canına Çok yenilikçi  ,Negative,120,9,True,Antalya,Female
Kamerası çok muhteşem! Tabii ki... eğer yeterince paran varsa. 💸,Negative,142,9,True,Antalya,Male
Bu fiyatla yanında bir de araba vermeleri gerekirdi ,Negative,23,12,True,Bursa,Female
"Apple her zaman olduğu gibi, değişmeyen tek şey! 👏",Negative,23,24,True,Antalya,Female
Face ID mi Yüzümü tanıyorsa şanslı günümdeyim demektir ,Negative,39,13,True,Konya,Male
Yeni iPhone 16! Şimdi tamamen aynı... ama daha pahalı! 😂,Negative,55,22,True,Antalya,Male
iPhone 16 mı Kesinlikle her şey ama yeni değil ,Negative,191,9,True,Istanbul,Female
Telefon o kadar pahalı ki kredi çekmek zorunda kaldım! 💳,Negative,149,13,True,Gaziantep,Male
Yine mi aynı tasarım vay canına Çok yenilikçi  ,Sarcastic,163,28,True,Antalya,Female
Kamerası çok muhteşem! Tabii ki... eğer yeterince paran varsa. 💸,Sarcastic,126,7,False,Antalya,Female
Bu fiyatla yanında bir de araba vermeleri gerekirdi ,Sarcastic,158,25,True,Istanbul,Male
"Apple her zaman olduğu gibi, değişmeyen tek şey! 👏",Sarcastic,151,12,True,Konya,Female
Face ID mi Yüzümü tanıyorsa şanslı günümdeyim demektir ,Sarcastic,112,10,False,Gaziantep,Female
